"why","when","where","what"
"coding",2022.03,"https://ukraine.campax.org/","#StandWithUkraine support of Campax platforms"
"school",2022.01,"https://blog.datalets.ch/079/","dribdat: Continued improvements in open source hackathon platform"
"coding",2021.12,"https://github.com/ProxeusApp/proxeus-core/releases/tag/v1.2/","proxeus: New release of open source dApp workflow platform"
"school",2021.11,"https://github.com/loleg/tokitokit/","tokitokit: Concept game with geodata for city mapping"
"opendata",2021.10,"https://forum.opendata.ch/t/12-13-11-data-hackdays-be-2021/796/1","Organized first Data Hackdays with the Canton of Bern"
"school",2021.05,"https://forum.opendata.ch/t/5-3-open-data-vorlesung-unibe/761/1","Guest lecture on open data monitoring at the University of Bern"
"coding",2021.04,"https://hack.glam.opendata.ch/project/114","scene.rip: a new API for a dataset of underground multimedia art"
"opendata",2021.03,"https://dribdat.cividi.space/","Geo.Hackmin event platform for Open Data Day"
"coding",2021.02,"https://github.com/datalets/headless-wagtail","Headless Wagtail build with a Vue.js / Gridsome frontend"
"school",2021.01,"https://db.schoolofdata.ch/project/115","Archive Forge: an open research data packager"
"coding",2020.12,"https://github.com/loleg/certify-participant","Tool for distributing digital certificates at open data hackathons"
"opendata",2020.11,"https://hack.opendata.ch/project/661","Belebung Altstadt: an AR tour for Smart City Lab Lenzburg"
"school",2020.10,"https://github.com/loleg/schafferei","Started a local coworking space on open platforms"
"opendata",2020.09,"https://github.com/dribdat/awesome-hackathon","Curated a list of hackathon platforms and tools"
"school",2020.08,"https://github.com/datalets/standortanalyse","A web based visualization of location data for urban analysis"
"opendata",2020.07,"https://forum.opendata.ch/t/4-5-9-open-farming-hackdays/687","Helped run the first Open Farming Hackdays at Liebegg"
"coding",2020.06,"https://github.com/streetwise/","An open source and crowdsourced map of urban space qualities"
"school",2020.04,"https://togethervsvirus.squarespace.com/","Member of the #TogetherVsVirus hackathon organizing team"
"coding",2020.05,"https://forum.opendata.ch/t/3-5-4-versusvirus/651/1","Helped build the #VersusVirus pandemic solidarity platform"
"school",2020.03,"https://db.schoolofdata.ch/project/76","Ran an online hackathon for COVID-19 response monitoring"
"coding",2020.02,"https://github.com/loleg/gamifylanguagelearning","Prototype of a children's game to learn the Amharic language"
"opendata",2019.11,"https://hack.opendata.ch/project/422","WalkFlow: analyzing pedestrian volumes with open tourism data"
"coding",2019.08,"https://github.com/loleg/swiss-parl-wordtime","Data analyzed the speeches of Swiss politicians with journalists"
"school",2019.07,"https://github.com/loleg/earnopendata","Wrote a guidebook and job site for aspiring open data freelancers"
"opendata",2019.06,"https://forum.opendata.ch/t/4-07-opendata-ch-2019/527/7","Co-organized the 2019 annual conference in Bern of Opendata.ch"
"coding",2019.05,"https://github.com/smartuse/platform","Smartuse.ch launched at the Metropolitankonferenz Zürich"
"school",2019.04,"https://forum.opendata.ch/t/building-capacity-hackathons-ftw/543/2","Coached a team of CS students in their semester project at HES-SO"
"opendata",2019.03,"https://blog.datalets.ch/056/","Brought open data to the sustainability podium at Criterion Zurich"
"coding",2019.02,"https://blog.datalets.ch/054/","Programmed a mobile art catalogue powered by Frictionless Data"
"school",2019.01,"https://blog.datalets.ch/050/","Ran a workshop at the EPFL Applied Machine Learning Days"
"coding",2018.12,"https://github.com/loleg/kanton-basel-stadt-pdf-publikationen","Reformatted an OGD publications dataset for the City of Basel"
"school",2018.11,"https://github.com/frictionlessdata/DataPackage.jl","Released DataPackage.jl, the Julia library for Frictionless Data"
"opendata",2018.10,"https://blog.datalets.ch/046/","Created an OpenGLAM VR exhibit for the Swiss National Museum"
"coding",2018.09,"https://twitter.com/hack3space/status/1041774200388767744?ref_src=twsrc%5Etfw","Ran an SDG mini-hackathon at the Comptoir Suisse in Lausanne"
"school",2018.08,"https://forum.opendata.ch/t/open-data-module-at-bfh-2018/435","Teaching a class every semester at the BFH CAS on Data Analysis"
"opendata",2018.07,"https://blog.datalets.ch/044/","Co-founded and presented the 1st Swiss Open Data Student award"
"coding",2018.06,"https://forum.opendata.ch/t/17-9-legaltech-hackathon/402","Set up platforms, network, participated in a LegalTech hackathon"
"school",2018.05,"https://www.hkb.bfh.ch/de/weiterbildung/cas/data-visualization/","Taught and mentored in the HKB CAS on Data Visualization"
"opendata",2018.04,"https://blog.datalets.ch/040/","Organized the first international Open Data Day in Bern"
"coding",2018.03,"https://github.com/loleg/mz-forest-sound-track","Machine learning to detect birdsong at the 2nd Make Zurich event"
"school",2018.02,"https://github.com/loleg/land2door","Built an open database on farming to foster local food choices"
"opendata",2018.01,"https://blog.datalets.ch/039/","Ran platforms, events, coaching for the Food Open Data program"
"coding",2017.12,"https://github.com/dataletsch/gmba-connect","Redesigned GMBA researchers databases for the University of Bern"
